"word1"	"word2"	"freq"
"450"	"them"	"and"	11
"451"	"then"	"i"	11
"452"	"this"	"week"	11
"453"	"time"	"i"	11
"454"	"to"	"come"	11
"455"	"to"	"find"	11
"456"	"to"	"follow"	11
"457"	"to"	"look"	11
"458"	"to"	"your"	11
"459"	"was"	"so"	11
"460"	"what"	"the"	11
"461"	"what"	"we"	11
"462"	"who"	"have"	11
"463"	"will"	"not"	11
"464"	"with"	"it"	11
"465"	"you"	"see"	11
"466"	"a"	"time"	10
"467"	"a"	"while"	10
"468"	"a"	"year"	10
"469"	"an"	"amazing"	10
"470"	"an"	"hour"	10
"471"	"and"	"have"	10
"472"	"and"	"now"	10
"473"	"and"	"she"	10
"474"	"and"	"they"	10
"475"	"as"	"much"	10
"476"	"because"	"of"	10
"477"	"but"	"its"	10
"478"	"do"	"a"	10
"479"	"does"	"not"	10
"480"	"dont"	"get"	10
"481"	"dont"	"want"	10
"482"	"end"	"of"	10
"483"	"for"	"an"	10
"484"	"for"	"her"	10
"485"	"for"	"it"	10
"486"	"for"	"our"	10
"487"	"for"	"some"	10
"488"	"from"	"my"	10
"489"	"good"	"luck"	10
"490"	"happy"	"to"	10
"491"	"have"	"an"	10
"492"	"here"	"is"	10
"493"	"i"	"mean"	10
"494"	"i"	"wasnt"	10
"495"	"i"	"went"	10
"496"	"in"	"her"	10
"497"	"instead"	"of"	10
"498"	"is"	"to"	10
"499"	"is"	"what"	10
"500"	"it"	"with"	10
"501"	"just"	"a"	10
"502"	"life"	"is"	10
"503"	"lots"	"of"	10
"504"	"made"	"me"	10
"505"	"make"	"sure"	10
"506"	"me"	"a"	10
"507"	"me"	"too"	10
"508"	"miss"	"you"	10
"509"	"must"	"be"	10
"510"	"no"	"matter"	10
"511"	"not"	"just"	10
"512"	"of"	"her"	10
"513"	"of"	"how"	10
"514"	"of"	"some"	10
"515"	"of"	"us"	10
"516"	"on"	"and"	10
"517"	"on"	"that"	10
"518"	"or"	"not"	10
"519"	"rather"	"than"	10
"520"	"so"	"many"	10
"521"	"so"	"we"	10
"522"	"so"	"you"	10
"523"	"talking"	"about"	10
"524"	"than"	"i"	10
"525"	"that"	"will"	10
"526"	"that"	"would"	10
"527"	"the"	"back"	10
"528"	"the"	"big"	10
"529"	"the"	"church"	10
"530"	"the"	"entire"	10
"531"	"the"	"father"	10
"532"	"the"	"movie"	10
"533"	"think"	"about"	10
"534"	"time"	"for"	10
"535"	"to"	"check"	10
"536"	"to"	"put"	10
"537"	"to"	"read"	10
"538"	"to"	"tell"	10
"539"	"today"	"is"	10
"540"	"well"	"i"	10
"541"	"when"	"it"	10
"542"	"when"	"the"	10
"543"	"where"	"the"	10
"544"	"will"	"do"	10
"545"	"woke"	"up"	10
"546"	"you"	"for"	10
"547"	"you"	"got"	10
"548"	"you"	"to"	10
"549"	"you"	"want"	10
"550"	"a"	"beautiful"	9
"551"	"about"	"a"	9
"552"	"and"	"so"	9
"553"	"and"	"some"	9
"554"	"are"	"in"	9
"555"	"at"	"am"	9
"556"	"back"	"in"	9
"557"	"because"	"it"	9
"558"	"by"	"a"	9
"559"	"deal"	"with"	9
"560"	"did"	"not"	9
"561"	"do"	"i"	9
"562"	"for"	"his"	9
"563"	"fun"	"and"	9
"564"	"glad"	"to"	9
"565"	"have"	"no"	9
"566"	"i"	"felt"	9
"567"	"i"	"read"	9
"568"	"i"	"saw"	9
"569"	"is"	"this"	9
"570"	"it"	"i"	9
"571"	"it"	"if"	9
"572"	"know"	"i"	9
"573"	"looks"	"like"	9
"574"	"made"	"a"	9
"575"	"my"	"brother"	9
"576"	"my"	"day"	9
"577"	"my"	"favorite"	9
"578"	"my"	"friends"	9
"579"	"of"	"it"	9
"580"	"on"	"his"	9
"581"	"on"	"twitter"	9
"582"	"ready"	"for"	9
"583"	"ready"	"to"	9
"584"	"sense"	"of"	9
"585"	"she"	"has"	9
"586"	"take"	"the"	9
"587"	"the"	"rest"	9
"588"	"the"	"right"	9
"589"	"the"	"second"	9
"590"	"the"	"word"	9
"591"	"theres"	"a"	9
"592"	"this"	"morning"	9
"593"	"those"	"who"	9
"594"	"though"	"i"	9
"595"	"to"	"know"	9
"596"	"to"	"share"	9
"597"	"to"	"their"	9
"598"	"to"	"think"	9
"599"	"to"	"this"	9
"600"	"to"	"us"	9
"601"	"to"	"use"	9
"602"	"up"	"in"	9
"603"	"way"	"of"	9
"604"	"when"	"we"	9
"605"	"where"	"you"	9
"606"	"which"	"i"	9
"607"	"which"	"was"	9
"608"	"will"	"always"	9
"609"	"will"	"never"	9
"610"	"wish"	"i"	9
"611"	"with"	"an"	9
"612"	"with"	"her"	9
"613"	"you"	"a"	9
"614"	"you"	"find"	9
"615"	"you"	"go"	9
"616"	"you"	"love"	9
"617"	"you"	"make"	9
"618"	"you"	"that"	9
"619"	"you"	"think"	9
"620"	"youre"	"a"	9
"621"	"a"	"book"	8
"622"	"a"	"minute"	8
"623"	"a"	"nice"	8
"624"	"a"	"song"	8
"625"	"a"	"week"	8
"626"	"about"	"my"	8
"627"	"about"	"to"	8
"628"	"all"	"that"	8
"629"	"am"	"not"	8
"630"	"and"	"all"	8
"631"	"and"	"be"	8
"632"	"and"	"dont"	8
"633"	"and"	"has"	8
"634"	"and"	"other"	8
"635"	"and"	"their"	8
"636"	"as"	"they"	8
"637"	"be"	"back"	8
"638"	"be"	"there"	8
"639"	"bit"	"of"	8
"640"	"but"	"he"	8
"641"	"but"	"you"	8
"642"	"comes"	"to"	8
"643"	"day"	"of"	8
"644"	"dont"	"think"	8
"645"	"due"	"to"	8
"646"	"for"	"those"	8
"647"	"front"	"of"	8
"648"	"get"	"out"	8
"649"	"get"	"your"	8
"650"	"gonna"	"be"	8
"651"	"good"	"morning"	8
"652"	"hard"	"to"	8
"653"	"has"	"the"	8
"654"	"he"	"does"	8
"655"	"him"	"to"	8
"656"	"i"	"wonder"	8
"657"	"if"	"anyone"	8
"658"	"if"	"he"	8
"659"	"im"	"a"	8
"660"	"in"	"life"	8
"661"	"in"	"that"	8
"662"	"is"	"good"	8
"663"	"is"	"in"	8
"664"	"is"	"now"	8
"665"	"is"	"your"	8
"666"	"it"	"but"	8
"667"	"it"	"can"	8
"668"	"it"	"comes"	8
"669"	"it"	"for"	8
"670"	"it"	"will"	8
"671"	"its"	"the"	8
"672"	"just"	"for"	8
"673"	"know"	"it"	8
"674"	"last"	"year"	8
"675"	"listening"	"to"	8
"676"	"makes"	"me"	8
"677"	"matter"	"how"	8
"678"	"me"	"on"	8
"679"	"much"	"of"	8
"680"	"my"	"best"	8
"681"	"my"	"friend"	8
"682"	"my"	"head"	8
"683"	"my"	"mother"	8
"684"	"my"	"new"	8
"685"	"no"	"way"	8
"686"	"not"	"sure"	8
"687"	"now"	"and"	8
"688"	"now"	"i"	8
"689"	"number"	"of"	8
"690"	"of"	"all"	8
"691"	"oh"	"my"	8
"692"	"on"	"their"	8
"693"	"only"	"a"	8
"694"	"or"	"the"	8
"695"	"out"	"and"	8
"696"	"out"	"for"	8
"697"	"rest"	"of"	8
"698"	"rt"	"i"	8
"699"	"said"	"he"	8
"700"	"sort"	"of"	8
"701"	"that"	"its"	8
"702"	"that"	"were"	8
"703"	"the"	"biggest"	8
"704"	"the"	"book"	8
"705"	"the"	"car"	8
"706"	"the"	"difference"	8
"707"	"the"	"future"	8
"708"	"the"	"place"	8
"709"	"the"	"s"	8
"710"	"the"	"top"	8
"711"	"the"	"two"	8
"712"	"the"	"us"	8
"713"	"the"	"weekend"	8
"714"	"the"	"year"	8
"715"	"them"	"in"	8
"716"	"there"	"were"	8
"717"	"they"	"had"	8
"718"	"they"	"would"	8
"719"	"thing"	"i"	8
"720"	"thinking"	"about"	8
"721"	"time"	"of"	8
"722"	"to"	"everyone"	8
"723"	"to"	"it"	8
"724"	"to"	"our"	8
"725"	"to"	"play"	8
"726"	"to"	"try"	8
"727"	"to"	"win"	8
"728"	"to"	"write"	8
"729"	"top"	"of"	8
"730"	"was"	"also"	8
"731"	"was"	"just"	8
"732"	"was"	"that"	8
"733"	"was"	"to"	8
"734"	"we"	"all"	8
"735"	"where"	"i"	8
"736"	"who"	"can"	8
"737"	"will"	"get"	8
"738"	"with"	"some"	8
"739"	"with"	"this"	8
"740"	"wont"	"be"	8
"741"	"work"	"on"	8
"742"	"working"	"on"	8
"743"	"years"	"ago"	8
"744"	"you"	"guys"	8
"745"	"you"	"in"	8
"746"	"you"	"really"	8
"747"	"you"	"the"	8
