"word1"	"word2"	"word3"	"word4"	"freq"
"405"	"a"	"ball"	"absolutely"	"terrified"	1
"406"	"a"	"ball"	"n"	"the"	1
"407"	"a"	"ball"	"of"	"some"	1
"408"	"a"	"ball"	"on"	"my"	1
"409"	"a"	"balloon"	"whisk"	"constantly"	1
"410"	"a"	"bang"	"that"	"threw"	1
"411"	"a"	"bang"	"then"	"a"	1
"412"	"a"	"bar"	"called"	"the"	1
"413"	"a"	"barangay"	"head"	"in"	1
"414"	"a"	"barolo"	"clone"	"or"	1
"415"	"a"	"bartender"	"a"	"maid"	1
"416"	"a"	"base"	"i"	"used"	1
"417"	"a"	"baseball"	"has"	"a"	1
"418"	"a"	"basement"	"on"	"a"	1
"419"	"a"	"bat"	"chucked"	"with"	1
"420"	"a"	"batch"	"of"	"homemade"	1
"421"	"a"	"batch"	"on"	"saturday"	1
"422"	"a"	"bath"	"have"	"you"	1
"423"	"a"	"beat"	"down"	"on"	1
"424"	"a"	"beautiful"	"accent"	"and"	1
"425"	"a"	"beautiful"	"and"	"rare"	1
"426"	"a"	"beautiful"	"day"	"in"	1
"427"	"a"	"beautiful"	"day"	"oh"	1
"428"	"a"	"beautiful"	"day"	"with"	1
"429"	"a"	"beautiful"	"face"	"a"	1
"430"	"a"	"beautiful"	"mind"	"now"	1
"431"	"a"	"beautiful"	"nite"	"sit"	1
"432"	"a"	"beaver"	"with"	"speed"	1
"433"	"a"	"belgian"	"tripel"	"especially"	1
"434"	"a"	"belieber"	"when"	"you"	1
"435"	"a"	"belief"	"that"	"the"	1
"436"	"a"	"believer"	"in"	"christ"	1
"437"	"a"	"belly"	"button"	"ring"	1
"438"	"a"	"belt"	"at"	"all"	1
"439"	"a"	"bench"	"the"	"raccoon"	1
"440"	"a"	"better"	"future"	"for"	1
"441"	"a"	"better"	"listener"	"its"	1
"442"	"a"	"better"	"measure"	"of"	1
"443"	"a"	"better"	"mood"	"today"	1
"444"	"a"	"better"	"strategist"	"than"	1
"445"	"a"	"better"	"understanding"	"as"	1
"446"	"a"	"big"	"boy"	"to"	1
"447"	"a"	"big"	"camera"	"they"	1
"448"	"a"	"big"	"chi"	"town"	1
"449"	"a"	"big"	"deal"	"at"	1
"450"	"a"	"big"	"deal"	"but"	1
"451"	"a"	"big"	"deal"	"for"	1
"452"	"a"	"big"	"deal"	"it"	1
"453"	"a"	"big"	"eddy"	"on"	1
"454"	"a"	"big"	"fan"	"of"	1
"455"	"a"	"big"	"ouch"	"hilarity"	1
"456"	"a"	"big"	"part"	"of"	1
"457"	"a"	"big"	"prehistoric"	"thingy"	1
"458"	"a"	"big"	"really"	"snicker"	1
"459"	"a"	"big"	"royals"	"fan"	1
"460"	"a"	"big"	"sign"	"of"	1
"461"	"a"	"billion"	"government"	"fund"	1
"462"	"a"	"bird"	"sounds"	"or"	1
"463"	"a"	"bird"	"to"	"dip"	1
"464"	"a"	"bishops"	"advisory"	"panel"	1
"465"	"a"	"bit"	"baroque"	"but"	1
"466"	"a"	"bit"	"cloudy"	"from"	1
"467"	"a"	"bit"	"intense"	"for"	1
"468"	"a"	"bit"	"into"	"the"	1
"469"	"a"	"bit"	"more"	"detail"	1
"470"	"a"	"bit"	"more"	"lehman"	1
"471"	"a"	"bit"	"of"	"hummus"	1
"472"	"a"	"bit"	"of"	"measurement"	1
"473"	"a"	"bit"	"older"	"i"	1
"474"	"a"	"bit"	"until"	"then"	1
"475"	"a"	"bit"	"we"	"headed"	1
"476"	"a"	"bit"	"will"	"i"	1
"477"	"a"	"black"	"woman"	"crying"	1
"478"	"a"	"blast"	"and"	"was"	1
"479"	"a"	"blast"	"to"	"be"	1
"480"	"a"	"blender"	"today"	"and"	1
"481"	"a"	"bless"	"n"	"productive"	1
"482"	"a"	"blessing"	"savior"	"holding"	1
"483"	"a"	"blind"	"eye"	"to"	1
"484"	"a"	"blog"	"post"	"by"	1
"485"	"a"	"blog"	"to"	"check"	1
"486"	"a"	"blog"	"why"	"dont"	1
"487"	"a"	"blogger"	"who"	"may"	1
"488"	"a"	"bloke"	"with"	"a"	1
"489"	"a"	"bloody"	"insurrection"	"and"	1
"490"	"a"	"boat"	"kobe"	"bryant"	1
"491"	"a"	"bogus"	"phone"	"number"	1
"492"	"a"	"bonfire"	"with"	"me"	1
"493"	"a"	"book"	"about"	"the"	1
"494"	"a"	"book"	"come"	"and"	1
"495"	"a"	"book"	"in"	"it"	1
"496"	"a"	"book"	"published"	"years"	1
"497"	"a"	"book"	"twice"	"the"	1
"498"	"a"	"book"	"we"	"both"	1
"499"	"a"	"book"	"well"	"all"	1
"500"	"a"	"book"	"written"	"by"	1
"501"	"a"	"born"	"and"	"raised"	1
"502"	"a"	"bottle"	"it"	"was"	1
"503"	"a"	"bottle"	"rt"	"la"	1
"504"	"a"	"bow"	"to"	"an"	1
"505"	"a"	"bowl"	"of"	"kashi"	1
"506"	"a"	"box"	"gives"	"them"	1
"507"	"a"	"boy"	"it"	"took"	1
"508"	"a"	"bracelet"	"id"	"chosen"	1
"509"	"a"	"brand"	"i"	"havent"	1
"510"	"a"	"brand"	"new"	"sharpie"	1
"511"	"a"	"brandspankinnew"	"dvd"	"bluray"	1
"512"	"a"	"brat"	"no"	"matter"	1
"513"	"a"	"brat"	"with"	"just"	1
"514"	"a"	"break"	"i"	"am"	1
"515"	"a"	"breakout"	"hit"	"in"	1
"516"	"a"	"brew"	"and"	"watch"	1
"517"	"a"	"brilliant"	"album"	"with"	1
"518"	"a"	"broiler"	"pan"	"they"	1
"519"	"a"	"broken"	"leg"	"im"	1
"520"	"a"	"brown"	"bag"	"with"	1
"521"	"a"	"brunette"	"of"	"precisely"	1
"522"	"a"	"brutal"	"government"	"rehabilitation"	1
"523"	"a"	"bubba"	"truck"	"hope"	1
"524"	"a"	"bunch"	"if"	"random"	1
"525"	"a"	"bunch"	"of"	"personal"	1
"526"	"a"	"bunch"	"of"	"radishes"	1
"527"	"a"	"bunch"	"of"	"wonderful"	1
"528"	"a"	"burning"	"and"	"shining"	1
"529"	"a"	"business"	"have"	"fun"	1
"530"	"a"	"business"	"meeting"	"early"	1
"531"	"a"	"busy"	"week"	"of"	1
"532"	"a"	"but"	"that"	"is"	1
"533"	"a"	"butterfly"	"meadows"	"papercraft"	1
"534"	"a"	"button"	"for"	"you"	1
"535"	"a"	"c"	"on"	"its"	1
"536"	"a"	"cake"	"for"	"my"	1
"537"	"a"	"calendar"	"to"	"figure"	1
"538"	"a"	"call"	"back"	"my"	1
"539"	"a"	"call"	"to"	"catch"	1
"540"	"a"	"called"	"strike"	"three"	1
"541"	"a"	"camera"	"to"	"see"	1
"542"	"a"	"candidate"	"at"	"his"	1
"543"	"a"	"candle"	"for"	"collins"	1
"544"	"a"	"candy"	"bar"	"as"	1
"545"	"a"	"car"	"but"	"you"	1
"546"	"a"	"car"	"dealer"	"may"	1
"547"	"a"	"car"	"just"	"turned"	1
"548"	"a"	"car"	"parade"	"first"	1
"549"	"a"	"card"	"for"	"each"	1
"550"	"a"	"card"	"stamp"	"inked"	1
"551"	"a"	"card"	"using"	"just"	1
"552"	"a"	"care"	"in"	"the"	1
"553"	"a"	"careerending"	"football"	"injury"	1
"554"	"a"	"carlsbad"	"attorney"	"who"	1
"555"	"a"	"case"	"of"	"surge"	1
"556"	"a"	"catchbecause"	"the"	"contract"	1
"557"	"a"	"cellphone"	"the"	"phone"	1
"558"	"a"	"ceremonial"	"first"	"pitch"	1
"559"	"a"	"certain"	"client"	"surprise"	1
